StdInChIKey,SMILES,LogS,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms
PBPVEQLHHMEARQ-UHFFFAOYSA-N,c1ccc(cc1)Nc1ccc(cc1)n1nc2ccccc2n1,-1.155845958,298.5352099,286.336,137,0.222591748,0.211925561,-0.010666187,0.44136845,0.42982745,-0.011541,2.833145,4.139624994,-0.30574,0.24215,-0.036,0.30595,543.2756773,0,-1.71088165,-0.42037575,0.32512765,-0.799709,36
PCMMEMLVVTUFTM-UHFFFAOYSA-N,COc1ccc(cc1)N=Cc1ccc(cc1)[N+](=O)[O-],-1.962574264,251.5152898,256.261,133,0.042965595,0.027184243,-0.015781352,0.216356285,0.199584084,-0.016772201,6.124724024,6.060179542,-0.326059853,0.220098218,-0.058051782,0.326269853,488.3165168,-1.40875357,-1.2273558,-0.506992006,0.852619197,-0.856689016,31
PCMORTLOPMLEFB-UHFFFAOYSA-N,COc1cc(C=CC(=O)O)cc(c1O)OC,-0.687277577,228.3854199,224.213,192,-0.272622741,-0.2850458,-0.012423059,-0.122603634,-0.138055738,-0.015452104,3.33328334,4.306720543,-0.320068621,0.245453304,-0.032696696,0.320278621,443.9603937,-2.347031714,-0.0784608,-0.574181209,0.682871824,-2.347031714,28
PCOBBVZJEWWZFR-UHFFFAOYSA-N,CCOC(=O)Nc1ccc(cc1N)NCc1ccc(cc1)F,-1.18089396,301.3114127,303.336,137,-0.158956414,-0.176394499,-0.017438085,0.084741531,0.065309327,-0.019432204,1.476241084,2.770731539,-0.299658951,0.269001318,-0.009148682,0.299868951,566.5177837,-1.110164873,-0.831429389,-0.625279012,0.708509461,-2.62349095,40
PCZOHLXUXFIOCF-BXMDZJJMSA-N,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@H](CC(=O)O3)O)[C@@H]12,-1.218807164,489.9568832,404.547,173.47,-0.413143409,-0.432012572,-0.018869162,0.046709649,0.024241478,-0.022468171,6.791485241,8.347260932,-0.331239326,0.289431156,0.011281156,0.331449326,648.2844455,-2.7610355,-3.145519417,-0.610423662,0.706150727,-2.7610355,65
PDKQJNXSAFZHTL-UHFFFAOYSA-N,Cc1ccc(cc1)C(CCC(c1ccccc1)(c1ccc(C)cc1)O)(c1ccccc1)O,-1.90910954,479.1818748,422.567,176,-0.03222544,-0.043454068,-0.011228628,0.380498684,0.367473651,-0.013025033,1.616923335,2.240524042,-0.335096877,0.286159166,0.008009166,0.335306877,738.9501494,-1.209721318,-4.025155379,-0.605974719,0.350475267,-1.209721318,62
PDMLSWLQHBTLJF-UHFFFAOYSA-N,c1ccc2cc(ccc2c1)OP(=O)(Oc1ccc2ccccc2c1)Oc1ccc2ccccc2c1,-2.678033738,467.2172542,476.468,109.875,-0.159688697,-0.174498976,-0.014810278,0.17956631,0.163633982,-0.015932328,2.235652535,3.204607584,-0.330036525,0.251916289,-0.026233711,0.330246525,751.8314433,-2.624390176,-2.768146378,-0.832662294,1.81447996,-0.809910217,56
PDZIFGIQUYFQGK-UHFFFAOYSA-N,c1ccc2c(c1)c1CCCC(=O)c1[nH]2,-0.990246259,201.1487895,185.225,169,-0.011858098,-0.021694462,-0.009836364,0.142679,0.131875,-0.010804,2.6092,3.575,-0.31653,0.25621,-0.02194,0.31674,381.4184121,-0.583498,-1.163441,-0.583498,0.607918,-0.764153,25
PFVCRIULCASTAH-ZMGSENCKSA-N,CC1(C)C2CC[C@@]1(C)C(=O)/C/2=C(/c1ccccc1)\O,-0.983952847,321.1671634,256.345,90,-0.10091496,-0.108592779,-0.007677818,0.159125359,0.149651688,-0.009473671,3.792342436,5.15217785,-0.340657409,0.259335479,-0.018814521,0.340867409,474.7732153,-1.090052427,-2.251214689,-0.597775534,0.569704888,-1.090052427,39
PHAAHAOHZXTVJB-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCC(=O)O,-2.52923583,614.775591,439.723,115,-0.408321866,-0.428167874,-0.019846007,0.213380261,0.194020159,-0.019360102,6.284285857,9.721311518,-0.368763279,0.302006429,0.023856429,0.368973279,924.6861742,-1.854481605,-5.577084684,-0.681916081,0.700210162,-2.307149924,84
PHMBVCPLDPDESM-FKSUSPILSA-N,CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)O)C(=O)O,-1.093780574,217.8477827,185.223,201.5,-0.237316527,-0.249907814,-0.012591287,-0.054619722,-0.068445393,-0.01382567,4.218389183,5.382109627,-0.341850652,0.301911788,0.023761788,0.342060652,360.4884045,-1.735894732,-0.596398052,-0.611292342,0.693383209,-2.103203238,28
PITGSQSQGJDIOP-UHFFFAOYSA-N,c1ccc2c(c1)c1=NC3=CC=CC(=Nc4c5ccccc5c(N=C5C=CC=C(C5)N=c2[nH]1)[nH]4)C3,0.160128574,426.3495316,438.491,365,0.334998727,0.30968829,-0.025310436,0.677458167,0.651478889,-0.025979278,6.221016663,11.02781667,-0.283019444,0.22265,-0.0555,0.283229444,684.7483284,0,-1.257508278,-0.545101056,0.416460611,-2.553934611,54
PJANXHGTPQOBST-VAWYXSNFSA-N,c1ccc(cc1)/C=C/c1ccccc1,-1.25995379,220.6433384,180.249,123.5,0.096668408,0.092568594,-0.004099814,0.258014069,0.25328324,-0.004730829,0.010190505,0.010592604,-0.328375827,0.268581944,-0.009568056,0.328585827,416.9240649,0,-1.885822181,-0.18895277,0.162931446,0,26
PJBFVWGQFLYWCB-UHFFFAOYSA-N,CCCn1c2c(c(=O)n(CCC)c1=O)[nH]c(C13CC4CC(CC3C4)C1)n2,-1.296748044,419.8543965,356.468,190,-0.136663211,-0.151916557,-0.015253347,0.238146997,0.222989921,-0.015157075,4.695825426,5.927386066,-0.331395068,0.262214786,-0.015935214,0.331605068,630.2560026,-1.141998613,-1.68449338,-0.571520414,0.703862399,-2.578913333,54
PJHUABJTDFXYRQ-UHFFFAOYSA-N,c1ccc(cc1)C(=O)N=[N+]=[N-],0.008276759,128.7325847,147.136,28,0.095325422,0.087618962,-0.00770646,0.166622615,0.160427846,-0.006194769,3.360630625,3.953329912,-0.375902307,0.237667693,-0.040482307,0.376112307,327.3396559,-0.558718216,-0.07682903,-0.597497895,0.669439972,-0.754081346,16
POOSGDOYLQNASK-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCCCCCC,-2.45058394,597.8987355,338.661,50.69,-0.191484001,-0.194704872,-0.003220872,0.376340703,0.374571979,-0.001768724,0.068698097,0.066423432,-0.388110027,0.424534962,0.146384962,0.388320027,824.4458911,0,-6.663638782,-0.469729756,0.149367428,0,74
PORJPNDHJDOGPF-QVIHXGFCSA-N,c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)/N=N/c1ccc(cc1C(F)(F)F)N(=O)=O,-3.236573593,390.4292123,462.431,208,-0.020111326,-0.033678079,-0.013566752,0.268394882,0.252674319,-0.015720562,10.09448165,12.58826693,-0.314640427,0.217605173,-0.060544827,0.314850427,733.8019123,-1.007225044,-1.629836093,-0.506153127,0.870508978,-1.315504902,51
