StdInChIKey,SMILES,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms
IOUNQDKNJZEDEP-UHFFFAOYSA-N,CCOP(=S)(OCC)SCn1c2ccc(cc2oc1=O)Cl,-5.15565,367.8016,47.75,233.225,-2420.00795,-2420.022084,-0.01413387,-2419.796499,-2419.811585,-0.015086,4.1475,4.2907,-0.24006,-0.04223,0.27704,0.26498,565.5169678,-2.88735,-1.53379,-0.87513,1.68538,-2.33643,36
IOUPEELXVYPCPG-UHFFFAOYSA-N,CC(C)C(C(=O)NCC(=O)O)N,0.4579,174.1992,,130.431,-610.4066292,-610.4223928,-0.015763564,-610.227891,-610.244615,-0.016724,3.1283,4.3555,-0.24609,-0.03007,0.2892,0.27101,388.2367249,-2.05546,-0.66817,-0.92626,0.82228,-3.64157,26
IOUVKUPGCMBWBT-QNDFHXLGSA-N,c1cc(ccc1CCC(=O)c1c(cc(cc1OC1C(C(C(C(CO)O1)O)O)O)O)O)O,-2.524674711,436.4146,136,293.348,-1566.94015,-1566.969788,-0.02963813,-1566.564038,-1566.595144,-0.031106,4.6988,6.0522,-0.22674,-0.0666,0.25267,0.25166,685.6477051,-7.17052,-0.78301,-0.81928,0.6161,-7.17052,55
IOVARPVVZDOPGQ-UHFFFAOYSA-N,c1cc(ccc1c1c(cc(c(c1Cl)Cl)Cl)Cl)Cl,-7.95,326.4365,,200.269,-2761.278752,-2761.284237,-0.00548495,-2761.191854,-2761.197258,-0.005404,0.9495,1.5048,-0.26167,-0.05902,0.26025,0.28659,464.6992188,0,-1.52595,-0.24717,0.2874,0.16879,22
IOWGHQGLUMEZKG-UHFFFAOYSA-N,c1ccc(c(c1)CO)Br,-2.152493235,187.0357,79.25,125.781,-2917.916452,-2917.923382,-0.00693026,-2917.825762,-2917.832881,-0.007119,0.7343,0.6937,-0.24841,-0.02438,0.29489,0.27333,313.6751709,-0.79875,-1.28094,-0.79875,0.52206,-0.7542,16
IOWPKEYIXBBDOQ-UHFFFAOYSA-N,c1cc(cc(c1)Nc1nc2c(c(=O)[nH]1)nc[nH]2)C(F)(F)F,-4.815013225,295.224,230,181.02,-1110.689088,-1110.718136,-0.02904836,-1110.534943,-1110.563172,-0.028229,5.1875,7.288,-0.22882,-0.05694,0.26233,0.25374,475.2598877,-0.68299,1.94777,-0.68299,1.09645,-4.66579,29
IOXAXYHXMLCCJJ-UHFFFAOYSA-N,Cc1cc(C)nc(n1)NC(=O)NS(=O)(=O)c1ccccc1C(=O)OC1COC1,-3.893,406.4124,,259.761,-1727.171462,-1727.199669,-0.02820706,-1726.884462,-1726.913473,-0.029011,5.3219,8.0424,-0.2575,-0.0803,0.23897,0.28242,666.4938354,-4.33073,-0.41673,-0.95418,2.33314,-4.66548,46
IPABBDLXSJIQEG-UHFFFAOYSA-N,COC(=O)C1(CC1)S(=O)(=O)c1ccc(cc1)Br,-3.6703,319.1695,123.5,160.528,-3696.547661,-3696.563137,-0.01547661,-3696.3882,-3696.403798,-0.015598,3.6087,5.0396,-0.27206,-0.06542,0.25385,0.29698,452.6216736,-3.12862,-2.09087,-0.9792,2.19929,-0.84954,28
IPBRZLMGGXHHMS-UHFFFAOYSA-N,c1ccc(cc1)Oc1ccccc1Cl,-4.7798,204.6555,,115.468,-998.1246888,-998.1307979,-0.00610906,-997.988629,-997.995204,-0.006575,2.6008,3.7482,-0.23366,-0.03358,0.28569,0.25858,402.486145,-0.52326,-1.81713,-0.52326,0.29026,-0.52508,23
IPBVNPXQWQGGJP-UHFFFAOYSA-N,CC(=O)Oc1ccccc1,-1.373595162,136.15,-30,113.841,-460.1428855,-460.1492368,-0.006351332,-460.033072,-460.039744,-0.006672,1.8427,2.503,-0.2492,-0.03146,0.28781,0.27412,327.0830688,-1.17159,-0.95156,-0.78004,0.83159,-1.17159,18
IPCSVZSSVZVIGE-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)O,-6.806908841,256.429,62.5,266.537,-779.4932099,-779.5069752,-0.013765284,-779.088947,-779.104581,-0.015634,4.5005,5.8213,-0.28572,-0.01894,0.30033,0.31064,643.2553711,-1.37563,-6.44684,-0.73344,0.83144,-1.37563,50
IPDKSGJFMBIZJI-UHFFFAOYSA-N,C1CCc2c(C1)cnc(n2)NS(=O)(=O)c1ccc(cc1)N,-3.650897212,304.373,249.25,207.094,-1310.762005,-1310.783511,-0.02150639,-1310.515277,-1310.538218,-0.022941,8.0424,11.612,-0.22833,-0.0496,0.26967,0.25325,523.8480835,-1.939,-2.27311,-0.97889,2.32814,-2.41223,37
