Descs,Removed,Model,R2,RMSE,% within 1,% within 0.5
"['MW', 'MP', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['Volume', 'LsolvHsolu']",ET,0.734741094,0.553775258,91.4893617,78.72340426
"['MW', 'MP', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['Volume', 'LsoluHsolv']",ET,0.729384956,0.560652711,90.42553191,77.65957447
"['MW', 'MP', 'G_solv', 'DeltaG_sol', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['Volume', 'solv_dip']",ET,0.7300743,0.559727422,89.36170213,76.59574468
"['MW', 'MP', 'G_solv', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['Volume', 'DeltaG_sol']",ET,0.72821275,0.558150902,92.55319149,76.59574468
"['MW', 'MP', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['Volume', 'G_solv']",ET,0.740549463,0.549562507,92.55319149,78.72340426
"['MW', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos']","['MP', 'Het_charges']",ET,0.44074498,0.798992378,75.53191489,59.57446809
"['MW', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Het_charges']","['MP', 'Most_pos']",ET,0.427675281,0.807943292,75.53191489,60.63829787
"['MW', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_pos', 'Het_charges']","['MP', 'Most_neg']",ET,0.442222187,0.801452076,79.78723404,63.82978723
"['MW', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['MP', 'C_charges']",ET,0.43319767,0.804558045,78.72340426,60.63829787
"['MW', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['MP', 'O_charges']",ET,0.422415419,0.811699096,78.72340426,61.70212766
"['MW', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['MP', 'SASA']",ET,0.432974225,0.802835929,81.91489362,59.57446809
"['MW', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['MP', 'LsolvHsolu']",ET,0.440536041,0.80143213,76.59574468,62.76595745
"['MW', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['MP', 'LsoluHsolv']",ET,0.416977103,0.816030258,76.59574468,61.70212766
"['MW', 'Volume', 'G_solv', 'DeltaG_sol', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['MP', 'solv_dip']",ET,0.394397202,0.836175728,74.46808511,58.5106383
"['MW', 'Volume', 'G_solv', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['MP', 'DeltaG_sol']",ET,0.431515769,0.803265822,76.59574468,56.38297872
"['MW', 'Volume', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['MP', 'G_solv']",ET,0.435626125,0.803105744,78.72340426,61.70212766
"['MW', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['MP', 'Volume']",ET,0.434213504,0.802933943,77.65957447,59.57446809
